index,acc_ln,eig_ln,acc_rn,eig_rn,acc_dn,eig_dn,acc_vgg,eig_vgg
66,90.61,0.048875414,85.31,0.0053718644,51.92,2.2791144e-05,58.01,0.008722292
67,90.77250000000001,0.048512954,77.62,0.0050197314,51.49,2.231227e-05,58.17,0.008623762
68,90.935,0.048292916,69.93,0.0049090036,51.06,2.1920776e-05,58.33,0.008591571
69,91.0975,0.048160836,62.239999999999995,0.0045364858,50.63,2.1759746e-05,58.489999999999995,0.008572323
70,91.26,0.047894683,54.55,0.00428182,50.2,2.1605541e-05,58.65,0.008519705
71,91.36,0.047596686,59.772499999999994,0.0037769168,50.870000000000005,2.100152e-05,57.94,0.008465297
72,91.46000000000001,0.04738046,64.995,0.003511057,51.540000000000006,2.0777456e-05,57.230000000000004,0.008409344
73,91.56,0.04723382,70.2175,0.003464259,52.21,2.042794e-05,56.52,0.008404332
74,91.66,0.046862878,75.44,0.003420873,52.88,2.0237645e-05,55.81,0.008378592
75,90.66,0.046786863,75.8175,0.0034136367,52.7,2.0145812e-05,55.975,0.008355174
76,89.66,0.046517767,76.195,0.003388727,52.519999999999996,1.9571353e-05,56.14,0.008348945
77,88.66,0.046301432,76.5725,0.0033546414,52.339999999999996,1.9389201e-05,56.305,0.008259355
78,87.66,0.046101086,76.95,0.0032860837,52.16,1.9311341e-05,56.47,0.008241257
79,87.2875,0.045995735,76.39500000000001,0.003260028,51.6425,1.8898249e-05,55.89,0.008237117
80,86.91499999999999,0.045626402,75.84,0.0032209512,51.125,1.862165e-05,55.31,0.008204728
81,86.5425,0.04553248,75.285,0.0032099967,50.6075,1.850976e-05,54.73,0.008175716
82,86.17,0.045259032,74.73,0.0031654413,50.09,1.8340994e-05,54.15,0.0081285415
83,85.01,0.045193907,73.14500000000001,0.0031241826,50.43000000000001,1.823762e-05,54.165,0.008115653
84,83.85,0.04500173,71.56,0.0030929937,50.77,1.8130386e-05,54.18,0.00809166
85,82.69,0.04482842,69.975,0.0030559557,51.11,1.8055407e-05,54.195,0.008071402
86,81.53,0.044699654,68.39,0.0030474528,51.45,1.783876e-05,54.21,0.008042681
87,81.97,0.044305574,68.815,0.0030083687,51.175000000000004,1.7747543e-05,53.9925,0.008020565
88,82.41,0.04422973,69.24000000000001,0.00299049,50.900000000000006,1.7522887e-05,53.775000000000006,0.007981669
89,82.85000000000001,0.043905064,69.665,0.0029582276,50.625,1.7471672e-05,53.557500000000005,0.007931466
90,83.29,0.043783147,70.09,0.0029340212,50.35,1.7021883e-05,53.34,0.007907647
91,83.20750000000001,0.043523073,69.715,0.0029162618,50.4675,1.6800079e-05,52.955,0.007903772
92,83.125,0.043440454,69.34,0.002906941,50.585,1.6698319e-05,52.57,0.007882469
93,83.04249999999999,0.043196764,68.965,0.0028870509,50.7025,1.6595099e-05,52.185,0.007856446
94,82.96,0.043089055,68.59,0.0028744815,50.82,1.6470196e-05,51.8,0.007830556
95,83.11749999999999,0.042895913,68.7175,0.0028550467,51.0075,1.6321577e-05,51.8375,0.007817035
96,83.275,0.04272155,68.845,0.0028455765,51.195,1.6187994e-05,51.875,0.0078004794
97,83.4325,0.042498503,68.9725,0.0028228736,51.3825,1.6123466e-05,51.9125,0.007776006
98,83.59,0.042304575,69.1,0.0027921714,51.57,1.5965777e-05,51.95,0.0077609047
99,82.70750000000001,0.04219368,69.13749999999999,0.0027882685,51.24,1.5781758e-05,52.7025,0.007747989
100,81.825,0.04210938,69.175,0.0027751322,50.91,1.5664882e-05,53.455,0.0077263005
101,80.9425,0.0420302,69.2125,0.0027733142,50.58,1.5589621e-05,54.2075,0.0077062077
102,80.06,0.041767996,69.25,0.0027643254,50.25,1.5432965e-05,54.96,0.007680802
103,81.3475,0.041567717,69.435,0.0027564988,50.65,1.536179e-05,54.835,0.0076659494
104,82.63499999999999,0.041385345,69.62,0.0027366218,51.05,1.5340585e-05,54.71,0.007640769
105,83.9225,0.0411986,69.80499999999999,0.002726215,51.45,1.5218658e-05,54.585,0.0076063564
106,85.21,0.041135386,69.99,0.002698879,51.85,1.51118065e-05,54.46,0.0075762565
107,83.6225,0.04098423,69.8975,0.0026934324,51.54,1.50864835e-05,54.6125,0.007565612
108,82.035,0.040928308,69.805,0.0026877918,51.230000000000004,1.4893923e-05,54.765,0.007513088
109,80.44749999999999,0.040648174,69.7125,0.0026793457,50.92,1.4829369e-05,54.917500000000004,0.0074892673
110,78.86,0.04043815,69.62,0.0026507226,50.61,1.4817553e-05,55.07,0.0074709593
111,78.91,0.040408105,69.205,0.002634674,50.775,1.4675141e-05,54.675,0.0074607176
112,78.96000000000001,0.040169954,68.78999999999999,0.0026126774,50.94,1.4526381e-05,54.28,0.0074581597
113,79.01,0.040021807,68.375,0.0026090266,51.105000000000004,1.4374947e-05,53.885000000000005,0.007424459
114,79.06,0.039927445,67.96,0.0025878435,51.27,1.430764e-05,53.49,0.0074139847
115,79.6425,0.039825268,67.595,0.0025729178,50.895,1.4151932e-05,53.2425,0.0074016666
116,80.225,0.039774034,67.22999999999999,0.0025554118,50.52,1.4058161e-05,52.995000000000005,0.0073782383
117,80.8075,0.039632823,66.865,0.0025276898,50.145,1.3880744e-05,52.7475,0.007369117
118,81.39,0.039423507,66.5,0.0025091348,49.77,1.3863716e-05,52.5,0.0073648244
119,80.91,0.03930235,66.8025,0.002489555,49.88,1.3727902e-05,52.63,0.0073341215
120,80.43,0.039102584,67.10499999999999,0.002477839,49.99,1.3547057e-05,52.760000000000005,0.007313103
121,79.95,0.039044898,67.4075,0.0024525377,50.1,1.3494696e-05,52.89,0.007302647
122,79.47,0.03903271,67.71,0.002446318,50.21,1.3337985e-05,53.02,0.007291056
123,79.075,0.038742457,67.6775,0.0024359676,50.32,1.3278248e-05,53.22,0.0072575253
