x,y,acc_lr,acc_ln,acc_rn,acc_dn,acc_vgg
0,0,100.0,50.27000045776370,100.0,53.279998779296900,51.33000183105470
1,0,100.0,50.68000030517580,98.62999725341800,49.900001525878900,51.29999923706060
2,0,100.0,50.81999969482420,99.95999908447270,49.86000061035160,50.90999984741210
3,0,100.0,49.79999923706060,97.30999755859380,50.5099983215332,51.400001525878900
4,0,100.0,51.0,99.98999786376950,49.400001525878900,50.650001525878900
5,0,100.0,50.599998474121100,97.44000244140630,49.97999954223630,50.630001068115200
6,0,100.0,50.18000030517580,99.9000015258789,50.060001373291000,50.52000045776370
7,0,100.0,50.81999969482420,98.55000305175780,50.83000183105470,51.66999816894530
8,0,100.0,51.130001068115200,99.97000122070310,94.66999816894530,51.2400016784668
9,0,100.0,50.81999969482420,98.55000305175780,50.83000183105470,51.66999816894530
10,0,100.0,50.18000030517580,99.9000015258789,50.060001373291000,50.52000045776370
11,0,100.0,50.599998474121100,97.44000244140630,49.97999954223630,50.630001068115200
12,0,100.0,51.0,99.98999786376950,49.400001525878900,50.650001525878900
13,0,100.0,49.79999923706060,97.30999755859380,50.5099983215332,51.400001525878900
14,0,100.0,50.81999969482420,99.95999908447270,49.86000061035160,50.90999984741210
15,0,100.0,50.68000030517580,98.62999725341800,49.900001525878900,51.29999923706060
0,1,100.0,50.41999816894530,99.79000091552730,49.959999084472700,50.130001068115200
1,1,100.0,50.209999084472700,50.97999954223630,50.72999954223630,50.7599983215332
2,1,100.0,49.95000076293950,95.22000122070310,49.36000061035160,50.36000061035160
3,1,100.0,49.599998474121100,50.93000030517580,50.220001220703100,50.0099983215332
4,1,100.0,50.349998474121100,96.9800033569336,50.04999923706060,50.189998626709000
5,1,100.0,50.970001220703100,50.599998474121100,50.81999969482420,50.34000015258790
6,1,100.0,52.77000045776370,96.66000366210940,50.40999984741210,50.290000915527300
7,1,100.0,55.939998626709000,50.790000915527300,50.08000183105470,52.279998779296900
